MEG	Agilent Technologies Inc. Common Stock	United States	Capital Goods	Biotechnology: Laboratory Analytical Instruments
ANY	Alcoa Corporation Common Stock		Basic Industries	Aluminum
BRPA	ATA Creativity Global American Depositary Shares	China	Consumer Services	Other Consumer Services
FLO	Artius Acquisition Inc. Class A Common Stock	United States	Finance	Business Services
ATOS	Arlington Asset Investment Corp Class A (new)	United States	Consumer Services	Real Estate Investment Trusts
BFZ	American Airlines Group Inc. Common Stock	United States	Transportation	Air Freight/Delivery Services
SWZ	Altisource Asset Management Corp Com	United States	Finance	Real Estate
AVTR	Atlantic American Corporation Common Stock	United States	Finance	Life Insurance
MIME	Aarons Holdings Company Inc. Common Stock	United States	Technology	Diversified Commercial Services
EGBN	Applied Optoelectronics Inc. Common Stock	United States	Technology	Semiconductors
EB	AAON Inc. Common Stock	United States	Capital Goods	Industrial Machinery/Components
DHT	Advance Auto Parts Inc Advance Auto Parts Inc W/I	United States	Consumer Services	Other Specialty Stores
CNK	Apple Inc. Common Stock	United States	Technology	Computer Manufacturing
MGYR	American Assets Trust Inc. Common Stock	United States	Consumer Services	Real Estate Investment Trusts
AMRN	Almaden Minerals Ltd. Common Shares	Canada	Basic Industries	Precious Metals
STFC	Atlas Air Worldwide Holdings NEW Common Stock	United States	Transportation	Transportation Services
SYRS	AllianceBernstein Holding L.P.  Units	United States	Finance	Investment Managers
VEON	ABB Ltd Common Stock	Switzerland	Consumer Durables	Electrical Products
FEN	AbbVie Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
KAMN	AmerisourceBergen Corporation Common Stock	United States	Health Care	Other Pharmaceuticals
HSIC	Ameris Bancorp Common Stock	United States	Finance	Major Banks
DCPH	AbCellera Biologics Inc. Common Shares	Canada	Health Care	Major Pharmaceuticals
PAIC	Abcam plc American Depositary Shares	United Kingdom	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
LSEA	Abeona Therapeutics Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
QTT	Ambev S.A. American Depositary Shares (Each representing 1 Common Share)		Consumer Non-Durables	Beverages (Production/Distribution)
STL	Asbury Automotive Group Inc Common Stock	United States	Consumer Durables	Automotive Aftermarket
XSPA	ARCA biopharma Inc. Common Stock	United States	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances
STND	ABM Industries Incorporated Common Stock	United States	Finance	Diversified Commercial Services
CBSH	ABIOMED Inc. Common Stock	United States	Health Care	Medical/Dental Instruments
SSNT	Airbnb Inc. Class A Common Stock	United States	Finance	Diversified Commercial Services
THRM	Arbor Realty Trust Common Stock	United States	Consumer Services	Real Estate Investment Trusts
YTEN	Absolute Software Corporation Common Stock	Canada	Technology	Computer Software: Prepackaged Software
ONB	Abbott Laboratories Common Stock	United States	Health Care	Major Pharmaceuticals
GSIT	Allegiance Bancshares Inc. Common Stock	United States	Finance	Major Banks
LFUS	Arbutus Biopharma Corporation Common Stock	Canada	Health Care	Major Pharmaceuticals
NRO	Associated Capital Group Inc. Common Stock	United States	Finance	Investment Bankers/Brokers/Service
HAIN	Arcosa Inc. Common Stock		Capital Goods	Metal Fabrications
ICPT	Acies Acquisition Corp. Class A Ordinary Share	United States	Finance	Business Services
EGHT	ACADIA Pharmaceuticals Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
BANX	Aurora Cannabis Inc. Common Shares		Consumer Durables	Specialty Chemicals
HEP	Atlantic Capital Bancshares Inc. Common Stock	United States	Finance	Major Banks
VIAO	American Campus Communities Inc Common Stock	United States	Consumer Services	Real Estate Investment Trusts
CWBC	Accolade Inc. Common Stock	United States		
SNOW	Acco Brands Corporation Common Stock	United States	Consumer Durables	Publishing
CIM	Accel Entertainment Inc.	United States	Consumer Services	Services-Misc. Amusement & Recreation
TANH	Acer Therapeutics Inc. Common Stock (DE)	United States	Health Care	Major Pharmaceuticals
RUTH	Adicet Bio Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
SBSW	ACE Convergence Acquisition Corp. Class A Ordinary Shares	United States	Finance	Business Services
GCI	Arch Capital Group Ltd. Common Stock	Bermuda	Finance	Property-Casualty Insurers
EGOV	Aluminum Corporation of China Limited American Depositary Shares	China	Basic Industries	Aluminum
EYEN	Acadia Healthcare Company Inc. Common Stock	United States	Health Care	Medical Specialities
STCN	Achieve Life Sciences Inc. Common Shares	United States	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances
PRFX	Albertsons Companies Inc. Class A Common Stock	United States	Consumer Services	Food Chains
EOI	Acacia Communications Inc. Common Stock	United States	Technology	Semiconductors
QS	Atlas Crest Investment Corp. Class A Common Stock	United States	Finance	Business Services
CCEP	AC Immune SA Common Stock	Switzerland	Health Care	Major Pharmaceuticals
