HQH,Tekla Healthcare Investors Common Stock,
SRC,Spirit Realty Capital Inc. Common Stock,Building operators
GIII,G-III Apparel Group LTD. Common Stock,Apparel
EAST,Eastside Distilling Inc. Common Stock,Beverages (Production/Distribution)
STRR,Star Equity Holdings Inc. Common Stock,Biotechnology: Electromedical & Electrotherapeutic Apparatus
GPM,Guggenheim Enhanced Equity Income Fund,
URI,United Rentals Inc. Common Stock,Diversified Commercial Services
NTES,NetEase Inc. American Depositary Shares,Business Services
AAN,Aarons Holdings Company Inc. Common Stock,Diversified Commercial Services
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),Major Chemicals
PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest,Real Estate Investment Trusts
FSBW,FS Bancorp Inc. Common Stock,Banks
LECO,Lincoln Electric Holdings Inc. Common Shares,Industrial Machinery/Components
BPTH,Bio-Path Holdings Inc. Common Stock,Major Pharmaceuticals
RFI,Cohen & Steers Total Return Realty Fund Inc. Common Stock,
HIFS,Hingham Institution for Savings Common Stock,
EEX,Emerald Holding Inc. Common Stock,Business Services
BHC,Bausch Health Companies Inc. Common Stock,Major Pharmaceuticals
TDY,Teledyne Technologies Incorporated Common Stock,Industrial Machinery/Components
CDAK,Codiak BioSciences Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
VTA,Invesco Credit Opportunities Fund Common Shares of Beneficial Interest,
VAPO,Vapotherm Inc. Common Stock,Medical/Dental Instruments
XPEL,XPEL Inc. Common Stock,Industrial Specialties
ARQT,Arcutis Biotherapeutics Inc. Common Stock,Major Pharmaceuticals
NWSA,News Corporation Class A Common Stock,Newspapers/Magazines
MACK,Merrimack Pharmaceuticals Inc. Common Stock,Major Pharmaceuticals
MRVL,Marvell Technology Group Ltd. Common Stock,Semiconductors
CPSI,Computer Programs and Systems Inc. Common Stock,EDP Services
IGR,CBRE Clarion Global Real Estate Income Fund Common Stock,
ANTM,Anthem Inc. Common Stock,Medical Specialities
SAM,Boston Beer Company Inc. (The) Common Stock,Beverages (Production/Distribution)
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),Oil/Gas Transmission
NGMS,NeoGames S.A. Ordinary Shares,Services-Misc. Amusement & Recreation
HAIN,Hain Celestial Group Inc. (The) Common Stock,Packaged Foods
ALLY,Ally Financial Inc. Common Stock,Major Banks
MT,Arcelor Mittal NY Registry Shares NEW,Steel/Iron Ore
ALKS,Alkermes plc Ordinary Shares,Major Pharmaceuticals
PEP,PepsiCo Inc. Common Stock,Beverages (Production/Distribution)
XNCR,Xencor Inc. Common Stock,Major Pharmaceuticals
GATX,GATX Corporation Common Stock,Transportation Services
ELTK,Eltek Ltd. Ordinary Shares,Electrical Products
TBI,TrueBlue Inc. Common Stock,Professional Services
NOA,North American Construction Group Ltd. Common Shares (no par),Oilfield Services/Equipment
CEO,CNOOC Limited Common Stock,Oil & Gas Production
ECL,Ecolab Inc. Common Stock,Package Goods/Cosmetics
STIM,Neuronetics Inc. Common Stock,Medical/Dental Instruments
SPLP,Steel Partners Holdings LP LTD PARTNERSHIP UNIT,Industrial Specialties
VST,Vistra Corp. Common Stock,Electric Utilities: Central
DWSN,Dawson Geophysical Company Common Stock,Oil & Gas Production
FB,Facebook Inc. Class A Common Stock,Computer Software: Programming Data Processing
INSP,Inspire Medical Systems Inc. Common Stock,Medical/Dental Instruments
ARYA,ARYA Sciences Acquisition Corp III Class A Ordinary Shares,Business Services
LHCG,LHC Group Common Stock,Medical/Nursing Services
NRIX,Nurix Therapeutics Inc. Common stock,Major Pharmaceuticals
FCF,First Commonwealth Financial Corporation Common Stock,Major Banks
SAN,Banco Santander S.A. Sponsored ADR (Spain),Commercial Banks
LAKE,Lakeland Industries Inc. Common Stock,Industrial Specialties
ENPC,Executive Network Partnering Corporation Class A Common Stock,Business Services
NID,Nuveen Intermediate Duration Municipal Term Fund Common Shares of Beneficial Interest,
RTP,Reinvent Technology Partners Class A Ordinary Shares,Business Services
CBAN,Colony Bankcorp Inc. Common Stock,Major Banks
FGEN,FibroGen Inc Common Stock,Major Pharmaceuticals
ITCI,Intra-Cellular Therapies Inc. Common Stock,Major Pharmaceuticals
PT,Pintec Technology Holdings Limited American Depositary Shares,Computer Software: Programming Data Processing
CVM,Cel-Sci Corporation Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
BKNG,Booking Holdings Inc. Common Stock,Transportation Services
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,
SY,So-Young International Inc. American Depository Shares,EDP Services
DHF,BNY Mellon High Yield Strategies Fund Common Stock,
DK,Delek US Holdings Inc. Common Stock,Integrated oil Companies
ARCE,Arco Platform Limited Class A Common Shares,Other Consumer Services
CTRM,Castor Maritime Inc. Common Shares,Marine Transportation
IGI,Western Asset Investment Grade Defined Opportunity Trust Inc. Common Stock,
LEDS,SemiLEDS Corporation Common Stock,Semiconductors
MPX,Marine Products Corporation Common Stock,Marine Transportation
TBK,Triumph Bancorp Inc. Common Stock,Major Banks
TUFN,Tufin Software Technologies Ltd. Ordinary Shares,EDP Services
ERIC,Ericsson American Depositary Shares,Radio And Television Broadcasting And Communications Equipment
GSBD,Goldman Sachs BDC Inc. Common Stock,
URBN,Urban Outfitters Inc. Common Stock,Clothing/Shoe/Accessory Stores
ROCH,Roth CH Acquisition I Co. Common Stock,Business Services
AAPL,Apple Inc. Common Stock,Computer Manufacturing
GNRS,Greenrose Acquisition Corp. Common Stock,Business Services
NLSP,NLS Pharmaceutics Ltd. Ordinary Shares,Major Pharmaceuticals
PBFX,PBF Logistics LP Common Units representing limited partner interests,Natural Gas Distribution
FFIV,F5 Networks Inc. Common Stock,Computer Communications Equipment
CRC,California Resources Corporation Common Stock,Oil & Gas Production
PRAA,PRA Group Inc. Common Stock,Finance: Consumer Services
WYNN,Wynn Resorts Limited Common stock,Hotels/Resorts
VSEC,VSE Corporation Common Stock,Military/Government/Technical
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),Oil & Gas Production
ONDS,Ondas Holdings Inc. Common Stock,Radio And Television Broadcasting And Communications Equipment
LOPE,Grand Canyon Education Inc. Common Stock,Other Consumer Services
GHC,Graham Holdings Company Common Stock,Other Consumer Services
CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,Movies/Entertainment
MAG,MAG Silver Corporation Ordinary Shares,Precious Metals
DOYU,DouYu International Holdings Limited ADS,Computer Software: Programming Data Processing
EDI,Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interests,
MFIN,Medallion Financial Corp. Common Stock,Finance: Consumer Services
SIG,Signet Jewelers Limited Common Shares,Consumer Specialties
ODFL,Old Dominion Freight Line Inc. Common Stock,Trucking Freight/Courier Services
DISCA,Discovery Inc. Series A Common Stock,Television Services
ASYS,Amtech Systems Inc. Common Stock,Industrial Machinery/Components
KYMR,Kymera Therapeutics Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
LUMO,Lumos Pharma Inc. Common Stock,Major Pharmaceuticals
AXSM,Axsome Therapeutics Inc. Common Stock,Major Pharmaceuticals
PDM,Piedmont Office Realty Trust Inc. Class A Common Stock,Building operators
EQD,Equity Distribution Acquisition Corp. Class A Common Stock,Business Services
IBN,ICICI Bank Limited Common Stock,Commercial Banks
REYN,Reynolds Consumer Products Inc. Common Stock,Containers/Packaging
PARR,Par Pacific Holdings Inc.  Common Stock,Oil & Gas Production
BGR,BlackRock Energy and Resources Trust,Oil & Gas Trust
PCTI,PCTEL Inc. Common Stock,Radio And Television Broadcasting And Communications Equipment
UMPQ,Umpqua Holdings Corporation Common Stock,Savings Institutions
REED,Reeds Inc. Common Stock,Beverages (Production/Distribution)
COFS,ChoiceOne Financial Services Inc. Common Stock,Major Banks
LMT,Lockheed Martin Corporation Common Stock,Military/Government/Technical
DELL,Dell Technologies Inc. Class C Common Stock,Computer Manufacturing
CUE,Cue Biopharma Inc. Common Stock,Major Pharmaceuticals
VERO,Venus Concept Inc. Common Stock,Medical/Dental Instruments
CNTY,Century Casinos Inc. Common Stock,Hotels/Resorts
XAIR,Beyond Air Inc. Common Stock,Medical/Dental Instruments
EBF,Ennis Inc. Common Stock,Office Equipment/Supplies/Services
ICFI,ICF International Inc. Common Stock,Professional Services
CERE,Cerevel Therapeutics Holdings Inc. Common Stock,Major Pharmaceuticals
BSTZ,BlackRock Science and Technology Trust II Common Shares of Beneficial Interest,
DRTT,DIRTT Environmental Solutions Ltd. Common Shares,Computer Software: Prepackaged Software
SNDX,Syndax Pharmaceuticals Inc. Common Stock,Major Pharmaceuticals
NRBO,NeuroBo Pharmaceuticals Inc. Common Stock,Major Pharmaceuticals
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,Oil Refining/Marketing
VTRU,Vitru Limited Common Shares,Other Consumer Services
NWFL,Norwood Financial Corp. Common Stock,Major Banks
AVIR,Atea Pharmaceuticals Inc. Common Stock,Major Pharmaceuticals
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,
LBRT,Liberty Oilfield Services Inc. Class A Common Stock,Oilfield Services/Equipment
WKHS,Workhorse Group Inc. Common Stock,Auto Manufacturing
NSL,Nuveen Senior Income Fund Common Stock,
PHK,Pimco High Income Fund Pimco High Income Fund,
APRN,Blue Apron Holdings Inc. Class A Common Stock,Catalog/Specialty Distribution
CLIR,ClearSign Technologies Corporation Common Stock,Industrial Machinery/Components
OGE,OGE Energy Corp Common Stock,Electric Utilities: Central
BBW,Build-A-Bear Workshop Inc. Common Stock,Recreational Products/Toys
PEBO,Peoples Bancorp Inc. Common Stock,Major Banks
ELMD,Electromed Inc. Common Stock,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AEGN,Aegion Corp Common Stock,Water Supply
MFNC,Mackinac Financial Corporation Common Stock,Major Banks
ETRN,Equitrans Midstream Corporation Common Stock,Natural Gas Distribution
EEA,The European Equity Fund Inc. Common Stock,
GTH,Genetron Holdings Limited ADS,Medical Specialities
RVT,Royce Value Trust Inc. Common Stock,
CAPA,HighCape Capital Acquisition Corp. Class A Common Stock,Business Services
GOSS,Gossamer Bio Inc. Common Stock,Major Pharmaceuticals
MORN,Morningstar Inc. Common Stock,Investment Managers
EXEL,Exelixis Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
PRGO,Perrigo Company plc Ordinary Shares,Major Pharmaceuticals
BLPH,Bellerophon Therapeutics Inc. Common Stock,Major Pharmaceuticals
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),Other Consumer Services
KRNT,Kornit Digital Ltd. Ordinary Shares,Industrial Machinery/Components
AZZ,AZZ Inc.,Building Products
UIHC,United Insurance Holdings Corp. Common Stock,Property-Casualty Insurers
IMKTA,Ingles Markets Incorporated Class A Common Stock,Food Chains
FIXX,Homology Medicines Inc. Common Stock,Major Pharmaceuticals
VLGEA,Village Super Market Inc. Class A Common Stock,Food Chains
SHYF,The Shyft Group Inc. Common Stock,Auto Manufacturing
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),EDP Services
ARTNA,Artesian Resources Corporation Class A Common Stock,Water Supply
JPI,Nuveen Preferred and Income Term Fund Common Shares of Beneficial Interest,
RY,Royal Bank Of Canada Common Stock,Commercial Banks
CVI,CVR Energy Inc. Common Stock,Integrated oil Companies
HLX,Helix Energy Solutions Group Inc. Common Stock,Oilfield Services/Equipment
TENX,Tenax Therapeutics Inc. Common Stock,Major Pharmaceuticals
JJSF,J & J Snack Foods Corp. Common Stock,Specialty Foods
SQM,Sociedad Quimica y Minera S.A. Common Stock,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VOC,VOC Energy Trust Units of Beneficial Interest,Oil & Gas Production
MNP,Western Asset Municipal Partners Fund Inc. Common Stock,
LANC,Lancaster Colony Corporation Common Stock,Packaged Foods
WLK,Westlake Chemical Corporation Common Stock,Major Chemicals
MPC,Marathon Petroleum Corporation Common Stock,Integrated oil Companies
HPR,HighPoint Resources Corporation Common Stock,Oil & Gas Production
APPF,AppFolio Inc. Class A Common Stock,Computer Software: Prepackaged Software
PCTY,Paylocity Holding Corporation Common Stock,Computer Software: Prepackaged Software
CMPR,Cimpress plc Ordinary Shares (Ireland),Publishing
HMST,HomeStreet Inc. Common Stock,Major Banks
VGZ,Vista Gold Corp Common Stock,Precious Metals
TACT,TransAct Technologies Incorporated Common Stock,Computer peripheral equipment
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Electric Utilities: Central
NVG,Nuveen AMT-Free Municipal Credit Income Fund,
SVVC,Firsthand Technology Value Fund Inc. Common Stock,
GRAY,Graybug Vision Inc. Common Stock,Major Pharmaceuticals
INN,Summit Hotel Properties Inc. Common Stock,Real Estate Investment Trusts
ONE,OneSmart International Education Group Limited ADS,Other Consumer Services
EXTR,Extreme Networks Inc. Common Stock,Computer Communications Equipment
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,Broadcasting
GH,Guardant Health Inc. Common Stock,Medical Specialities
PSNL,Personalis Inc. Common Stock,Medical Specialities
CPTA,Capitala Finance Corp. Common Stock,
SCU,Sculptor Capital Management Inc. Class A Common Stock,Investment Managers
SNDL,Sundial Growers Inc. Common Shares,Specialty Chemicals
CRSA,Crescent Acquisition Corp Class A Common Stock,Services-Misc. Amusement & Recreation
VMD,Viemed Healthcare Inc. Common Shares,Misc Health and Biotechnology Services
MTLS,Materialise NV American Depositary Shares,Computer Software: Prepackaged Software
EDTXU,EdtechX Holdings Acquisition Corp. II Unit,Business Services
MWK,Mohawk Group Holdings Inc. Common Stock,Home Furnishings
ALXO,ALX Oncology Holdings Inc. Common Stock,Major Pharmaceuticals
SWK,Stanley Black & Decker Inc. Common Stock,Industrial Machinery/Components
GEOS,Geospace Technologies Corporation Common Stock (Texas),Industrial Machinery/Components
SCHW,Charles Schwab Corporation (The) Common Stock,Investment Bankers/Brokers/Service
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,EDP Services
BEP,Brookfield Renewable Partners L.P.,Electric Utilities: Central
SCS,Steelcase Inc. Common Stock,Office Equipment/Supplies/Services
EDF,Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,
TGH,Textainer Group Holdings Limited Common Shares,Diversified Commercial Services
TDW,Tidewater Inc. Common Stock,Marine Transportation
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),Commercial Banks
CDK,CDK Global Inc. Common Stock,Business Services
ELA,Envela Corporation Common Stock,Consumer Specialties
ATGE,Adtalem Global Education Inc. Common Stock,Other Consumer Services
NTLA,Intellia Therapeutics Inc. Common Stock,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BZM,BlackRock Maryland Municipal Bond Trust Common shares of beneficial interest,
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,Auto Parts:O.E.M.
MCB,Metropolitan Bank Holding Corp. Common Stock,Major Banks
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,
REAL,The RealReal Inc. Common Stock,Other Specialty Stores
BWAC,Better World Acquisition Corp. Common Stock,Business Services
BXP,Boston Properties Inc. Common Stock,Real Estate Investment Trusts
CLX,Clorox Company (The) Common Stock,Specialty Chemicals
DEH,D8 Holdings Corp. Class A Ordinary Shares,Business Services
RYI,Ryerson Holding Corporation Common Stock,Metal Fabrications
OVID,Ovid Therapeutics Inc. Common Stock,Major Pharmaceuticals
ADPT,Adaptive Biotechnologies Corporation Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
HE,Hawaiian Electric Industries Inc. Common Stock,Electric Utilities: Central
ATRC,AtriCure Inc. Common Stock,Medical/Dental Instruments
WBS,Webster Financial Corporation Common Stock,Major Banks
PI,Impinj Inc. Common Stock,Industrial Machinery/Components
DSWL,Deswell Industries Inc. Common Shares,Plastic Products
KOPN,Kopin Corporation Common Stock,Semiconductors
CSX,CSX Corporation Common Stock,Railroads
PLT,Plantronics Inc. Common Stock,Telecommunications Equipment
SITE,SiteOne Landscape Supply Inc. Common Stock,Diversified Electronic Products
FDS,FactSet Research Systems Inc. Common Stock,Computer Software: Programming Data Processing
CPSH,CPS Technologies Corp. Common Stock,Building Materials
DSSI,Diamond S Shipping Inc. Common Stock,Transportation Services
KSM,DWS Strategic Municipal Income Trust,
FSRV,FinServ Acquisition Corp. Class A Common Stock,Business Services
HOLX,Hologic Inc. Common Stock,Medical Electronics
GLPI,Gaming and Leisure Properties Inc. Common Stock,Real Estate Investment Trusts
MRC,MRC Global Inc. Common Stock,Industrial Machinery/Components
NAN,Nuveen New York Quality Municipal Income Fund Common Stock,
KURA,Kura Oncology Inc. Common Stock,Major Pharmaceuticals
NBN,Northeast Bank Common Stock,Major Banks
CMCO,Columbus McKinnon Corporation Common Stock,Construction/Ag Equipment/Trucks
OMEX,Odyssey Marine Exploration Inc. Common Stock,Marine Transportation
OIA,Invesco Municipal Income Opportunities Trust Common Stock,
TREE,LendingTree Inc. Common Stock,Finance: Consumer Services
AAU,Almaden Minerals Ltd. Common Shares,Precious Metals
