MGYR,Magyar Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
LBTYB,Liberty Global plc Class B Ordinary Shares,United Kingdom,Consumer Services,Television Services
FXNC,First National Corporation Common Stock,United States,Finance,Major Banks
AVDR,AVDR US LargeCap Leading ETF,,,
BDL,Flanigan's Enterprises Inc. Common Stock,United States,Consumer Services,Restaurants
SFBC,Sound Financial Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
HMNF,HMN Financial Inc. Common Stock,United States,Finance,Savings Institutions
KEN,Kenon Holdings Ltd. Ordinary Shares,Singapore,Public Utilities,Electric Utilities: Central
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),Israel,Public Utilities,Electric Utilities: Central
CNNB,Cincinnati Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,United States,Consumer Services,Broadcasting
RIVE,Riverview Financial Corporation Common Stock,United States,Finance,Major Banks
PNBK,Patriot National Bancorp Inc. Common Stock,United States,Finance,Major Banks
MAYS,J. W. Mays Inc. Common Stock,United States,Consumer Services,Building operators
LSBK,Lake Shore Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
TSCAP,TriState Capital Holdings Inc. Dep Shs Rep 1/40th Int 6.75% Srs A Non-Cum Pfd Stock,United States,Finance,Major Banks
MIG,VanEck Vectors Moody's Analytics IG Corporate Bond ETF,United States,,
BOTJ,Bank of the James Financial Group Inc. Common Stock,United States,Finance,Major Banks
SENEB,Seneca Foods Corp. Class B Common Stock,United States,Consumer Non-Durables,Packaged Foods
DGICB,Donegal Group Inc. Class B Common Stock,United States,Finance,Property-Casualty Insurers
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,Mexico,Basic Industries,Steel/Iron Ore
QADB,QAD Inc. Class B Common Stock,United States,Technology,Computer Software: Prepackaged Software
NSEC,National Security Group Inc. Common Stock,United States,Finance,Life Insurance
OBAS,Optibase Ltd. Ordinary Shares,Israel,Finance,Real Estate
CKX,CKX Lands Inc. Common Stock,United States,Energy,Oil & Gas Production
DIT,AMCON Distributing Company Common Stock,United States,Consumer Non-Durables,Food Distributors
UBOH,United Bancshares Inc. Common Stock,United States,Finance,Major Banks
GYRO,Gyrodyne LLC Common Stock,United States,Consumer Services,Building operators
GRF,Eagle Capital Growth Fund Inc. Common Stock,United States,,
CAPA,HighCape Capital Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
CLDB,Cortland Bancorp Common Stock,United States,Finance,Savings Institutions
AMYT,Amryt Pharma plc American Depositary Shares,United Kingdom,Health Care,Major Pharmaceuticals
SEB,Seaboard Corporation Common Stock,United States,Consumer Services,Farming/Seeds/Milling
UBP,Urstadt Biddle Properties Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
OFED,Oconee Federal Financial Corp. Common Stock,United States,Finance,Savings Institutions
CVR,Chicago Rivet & Machine Co. Common Stock,United States,Technology,Industrial Machinery/Components
GBNY,Generations Bancorp NY Inc. Common Stock,United States,Finance,Major Banks
MZA,Blackrock MuniYield Arizona Fund Inc. Common Stock,United States,,
VALU,Value Line Inc. Common Stock,United States,Finance,Investment Managers
ICCH,ICC Holdings Inc. Common Stock,United States,Finance,Property-Casualty Insurers
UNAM,Unico American Corporation Common Stock,United States,Finance,Property-Casualty Insurers
PRTC,PureTech Health plc American Depositary Shares,United Kingdom,Health Care,Major Pharmaceuticals
HVBC,HV Bancorp Inc. Common Stock,United States,Finance,Major Banks
KELYB,Kelly Services Inc. Class B Common Stock,United States,Technology,Professional Services
ESBK,Elmira Savings Bank Elmira NY Common Stock,United States,Finance,Major Banks
CIX,CompX International Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),Peru,Capital Goods,Building Materials
FCAP,First Capital Inc. Common Stock,United States,Finance,Savings Institutions
FDBC,Fidelity D & D Bancorp Inc. Common Stock,United States,Finance,Major Banks
SRV,Cushing MLP & Infrastructure Total Return Fund,United States,,
PTVCA,Protective Insurance Corporation Class A Common Stock,United States,Finance,Property-Casualty Insurers
TCI,Transcontinental Realty Investors Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
